C + 5         6         6       3952061.5(1S)
    1 1S1               (2)0(  .5)             .0     {1}1.000
    2 2S1               (2)0(  .5)      2963904.2     {1}1.000
    3 2P1               (2)1( 2.5)      2964194.7     {1}1.000
    4 3S1               (2)0(  .5)      3512929.5     {1}1.000
    5 3P1               (2)1( 2.5)      3513015.3     {1}1.000
    6 3D1               (2)2( 4.5)      3513090.2     {1}1.000
    7 4P1               (2)1( 2.5)      3705107.2     {1}1.000
    8 4F1               (2)3( 6.5)      3705152.2     {1}1.000
    9 4S1               (2)0(  .5)      3705070.8     {1}1.000
   10 4D1               (2)2( 4.5)      3705138.6     {1}1.000
   11 5P1               (2)1( 2.5)      3794015.7     {1}1.000
   12 5S1               (2)0(  .5)      3793997.2     {1}1.000
   13 5G1               (2)4( 8.5)      3794042.7     {1}1.000
   14 5D1               (2)2( 4.5)      3794031.9     {1}1.000
   15 5F1               (2)3( 6.5)      3794038.9     {1}1.000
   -1      36.02    9.01    9.00    4.00    4.00    4.00    2.25    2.25    2.25    2.25    1.44    1.44    1.44    1.44    1.44
R  7  +1         3.14-13 2.20-13 1.52-13 1.21-13 8.96-14 5.73-14 4.30-14 3.45-14 2.47-14 1.56-14 7.78-15 4.98-15 3.57-15 1.14-15
R  8  +1         3.30-13 2.17-13 1.35-13 9.91-14 6.42-14 3.28-14 2.11-14 1.52-14 9.30-15 4.83-15 1.89-15 1.07-15 7.06-16 1.86-16
R  9  +1         1.00-13 7.07-14 4.98-14 4.04-14 3.10-14 2.13-14 1.69-14 1.43-14 1.11-14 7.92-15 4.77-15 3.45-15 2.70-15 1.15-15
R 10  +1         4.63-13 3.16-13 2.09-13 1.61-13 1.12-13 6.43-14 4.45-14 3.37-14 2.21-14 1.24-14 5.30-15 3.12-15 2.12-15 5.88-16
R 11  +1         1.74-13 1.22-13 8.39-14 6.68-14 4.94-14 3.14-14 2.35-14 1.88-14 1.34-14 8.46-15 4.19-15 2.68-15 1.92-15 6.12-16
R 12  +1         5.54-14 3.91-14 2.74-14 2.22-14 1.69-14 1.15-14 9.11-15 7.66-15 5.93-15 4.20-15 2.51-15 1.80-15 1.41-15 5.95-16
R 13  +1         1.48-13 9.27-14 5.38-14 3.75-14 2.26-14 1.05-14 6.39-15 4.43-15 2.59-15 1.29-15 4.79-16 2.66-16 1.74-16 4.50-17
R 14  +1         2.81-13 1.91-13 1.27-13 9.75-14 6.79-14 3.89-14 2.69-14 2.03-14 1.33-14 7.47-15 3.19-15 1.87-15 1.27-15 3.53-16
R 15  +1         2.88-13 1.89-13 1.18-13 8.66-14 5.62-14 2.87-14 1.85-14 1.33-14 8.13-15 4.22-15 1.65-15 9.31-16 6.17-16 1.62-16
  -1
  -1  -1
C-------------------------------------------------------------------------------
C
C Combined two specific ion files
C
C Target         : JETXPQ.COPMM#H.DATA(C5#LS#A)
C Supplementary  : JETXPQ.COPMM#H.DATA(HA#C5)
C
C Replace SUPPLEMENTARY level into TARGET level
C
C                     1                 1
C                     2                 2
C                     3                 3
C                     4                 4
C                     5                 5
C                     6                 6
C                     7                 9
C                     8                 7
C                     9                10
C                    10                 8
C                    11                12
C                    12                11
C                    13                14
C                    14                15
C                    15                13
C
C
C Code : JETXPQ.ATS.FORT(CADF04)
C
C        15:13  28/10/1997
C
C-------------------------------------------------------------------------------
C
C   Update A values of following transitions from the supplementary file
C
C      2   1,   4   1,   6   1,   9   1,  10   1,  12   1,  14   1,   4   2
C      6   2,   9   2,  10   2,  12   2,  14   2,   9   4,  10   4,  12   4
C     14   4,   9   6,  10   6,  12   6,  14   6,  13   6,  12   9,  14   9
C     12  10,  14  10,  13  10,   5   3,   7   3,   8   3,  11   3,  15   3
C      7   5,   8   5,  11   5,  15   5,  11   7,  15   7,  11   8,  15   8
C
C                                                       Martin O'Mullane
C                                                       28-10-97
C-------------------------------------------------------------------------------
C
C     Generated from Cowan Atomic Structure Program
C
C     M O'Mullane        19:09  23/10/1997
C
C
C
C     SCF method used                      : HR
C
C     Scale factors for Slater Parameters  : 80 97 85 85  0
C
C     Optically allowed transitions        : yes
C
C     Optically forbidden transitions M1   : both
C
C     Optically forbidden transitions E2   : both
C
C     Born Collision-Strength  - print     :  9
C
C                              - forbidden :  0 -> 2
C
C                              - allowed   :  1 -> 1
C
C                              - included  : 12,all
C
C     Parity 1    Parity 2    Allowed
C          105          98        145     initially
C           50          28         60     reduced
C
C---------------------------------------------------------------------------------
C Comments from supplementary file
C-------------------------------------------------------------------------------
C
C  File generated by altering the temperature set of an ADF04 file
C
C  Program: ADAS213
C
C  Source file: /u/adas/adas/adf04/coplh#h/coplh#h_c5.dat
C
C
C  Producer: Martin O'Mullane
C  Date: 23-10-97
